average value,histogram variance,y axis variance,pressure value ratio as 3,points ratio as 3,target
243.8484848,50601.88613,2.075015263,0.896,0.667,0
243.8484848,50601.88613,2.075015263,0.896,0.667,0
243.8484848,50601.88613,2.075015263,0.896,0.667,0
243.8484848,50601.88613,2.075015263,0.896,0.667,0
243.8484848,50601.88613,2.075015263,0.896,0.667,0
243.8484848,50601.88613,2.075015263,0.896,0.667,0
243.8484848,50601.88613,2.075015263,0.896,0.667,0
243.8484848,50601.88613,2.075015263,0.896,0.667,0
250.75,52622.375,2.053174708,0.912,0.719,0
250.75,52622.375,2.053174708,0.912,0.719,0
250.75,52622.375,2.053174708,0.912,0.719,0
250.75,52622.375,2.053174708,0.912,0.719,0
250.75,52622.375,2.053174708,0.912,0.719,0
250.75,52622.375,2.053174708,0.912,0.719,0
250.75,52622.375,2.053174708,0.912,0.719,0
250.75,52622.375,2.053174708,0.912,0.719,0
250.75,52622.375,2.053174708,0.912,0.719,0
250.75,52622.375,2.053174708,0.912,0.719,0
250.75,52622.375,2.053174708,0.912,0.719,0
250.75,52622.375,2.053174708,0.912,0.719,0
250.75,52622.375,2.053174708,0.912,0.719,0
248.3333333,52006.28283,2.046083041,0.907,0.697,0
248.3333333,52006.28283,2.046083041,0.907,0.697,0
248.3333333,52006.28283,2.046083041,0.907,0.697,0
248.3333333,52006.28283,2.046083041,0.907,0.697,0
248.3333333,52006.28283,2.046083041,0.907,0.697,0
248.3333333,52006.28283,2.046083041,0.907,0.697,0
248.3333333,52006.28283,2.046083041,0.907,0.697,0
248.3333333,52006.28283,2.046083041,0.907,0.697,0
248.3333333,52006.28283,2.046083041,0.907,0.697,0
248.3333333,52006.28283,2.046083041,0.907,0.697,0
248.3333333,52006.28283,2.046083041,0.907,0.697,0
248.3333333,52006.28283,2.046083041,0.907,0.697,0
248.3333333,52006.28283,2.046083041,0.907,0.697,0
248.3333333,52006.28283,2.046083041,0.907,0.697,0
